us_zip_code,bank_transaction_description,product_description,amount
10007,Adobe Creative Cloud Monthly,Digital Creativity Suite,52.99
10001,Adobe Creative Cloud Photography,Creative Software Subscription,9.99
10001,Amazon Prime Annual Membership,Online Marketplace & Media Services,119
77002,Apple iCloud 50GB Plan,Cloud Storage Service,0.99
13210,AT&T Bill Payment,Mobile Service Bill,65.25
78701,Audible Audio Books Monthly Subscription,Audio Book Service,14.95
78701,Audible Premium Plus Membership,Audiobook Subscription Service,14.95
75201,Disney+ Monthly Membership,Video Streaming Service,7.99
94105,Dropbox Plus Annual Plan,Cloud Storage Service,119.88
10001,Grubhub Food Delivery,Online Food Ordering Service,24.35
20007,HBO Max Monthly Subscription,Entertainment Streaming Service,14.99
60654,Hulu Ad-Free Subscription Monthly,Video Streaming Service,11.99
33131,Lyft Ride Share Fee,Transportation Service,27.85
60601,Microsoft Office 365 Annual Subscription,Office Suite Subscription,99.99
60601,Netflix Basic Plan,Video Streaming Service,8.99
10023,Peloton Monthly Subscription,Fitness Membership,39.99
94105,Salesforce CRM Monthly Subscription,Customer Relationship Management Software,99
33131,Spotify Family Subscription,Music Streaming Service,15.99
94110,Starbucks Coffee Purchase,Beverages and Snacks,15.47
10007,Starbucks Coffee Purchase New York NY,Coffee and Snacks,23.76
33131,Starbucks Morning Coffee Purchase,Coffee and Snacks,4.75
90015,Trader Joe's Grocery Shopping,Fresh Produce and Packaged Goods,68.23
60607,Whole Foods Market Grocery Purchase,Organic Foods and Groceries,97.35
15213,Whole Foods Market Grocery Shopping,Organic Foods and Groceries,127.85
94105,Whole Foods Market Purchase San Francisco CA,Groceries,8.52
75201,Xbox Live Gold Membership,Gaming Subscription Service,9.99
